PROBEID,GENENAME,SYMBOL
1368332_at,guanylate binding protein 2,Gbp2
1368482_at,BCL2-related protein A1,Bcl2a1
1369029_at,phospholipid scramblase 1,Plscr1
1369262_at,caspase 8,Casp8
1370186_at,proteasome 20S subunit beta 9,Psmb9
1370516_at,solute carrier family 15 member 3,Slc15a3
1372182_at,"phosphofructokinase, platelet",Pfkp
1374284_at,Ras association domain family member 4,Rassf4
1377916_at,schlafen family member 2,Slfn2
1378321_at,Ras association domain family member 4,Rassf4
1380297_at,caspase 8,Casp8
1382531_at,toll-like receptor 7,Tlr7
1384946_at,toll-like receptor 1,Tlr1
1385051_at,guanylate binding protein 4,Gbp4
1387687_at,"immunoglobulin superfamily, member 6",Igsf6
1389092_at,interleukin 2 receptor subunit gamma,Il2rg
1390529_at,CD83 molecule,Cd83
1390687_at,pleckstrin,Plek
1391593_at,Ras association domain family member 4,Rassf4
