BARCODE,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE,SP_FLG
No ChipData,708,5,1,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,708,5,2,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912020,708,5,3,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,708,5,2,3-methylcholanthrene,Low,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017912021,708,5,4,3-methylcholanthrene,Low,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
No ChipData,708,9,2,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912023,708,9,3,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912024,708,9,4,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912025,708,9,5,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,708,9,1,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017912023,708,9,3,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017912024,708,9,4,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
No ChipData,708,10,5,3-methylcholanthrene,Middle,6 hr,Liver,Single cell necrosis,Centrilobular,slight,False
No ChipData,708,13,2,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912026,708,13,3,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912027,708,13,4,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912028,708,13,5,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017912027,708,13,4,3-methylcholanthrene,High,3 hr,Liver,Necrosis,Hepatocyte,slight,True
No ChipData,708,13,2,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017912026,708,13,3,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017912028,708,13,5,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,False
No ChipData,708,13,1,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,moderate,False
003017912027,708,13,4,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,moderate,False
003017913008,708,14,3,3-methylcholanthrene,High,6 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017916026,708,16,1,3-methylcholanthrene,High,24 hr,Liver,Single cell necrosis,Centrilobular,slight,False
003017401004,510,1,2,acarbose,Control,3 hr,Liver,Microgranuloma,,minimal,True
No ChipData,510,2,2,acarbose,Control,6 hr,Liver,Microgranuloma,,minimal,True
