"PROBEID","GENENAME","SYMBOL"
"1367454_at","COPI coat complex subunit beta 2","Copb2"
"1367457_at","beclin 1","Becn1"
"1367459_at","ADP-ribosylation factor 1","Arf1"
"1367464_at","poly-U binding splicing factor 60","Puf60"
"1367468_at","SCAN domain-containing 1","Scand1"
"1367481_at","VPS28 subunit of ESCRT-I","Vps28"
"1367495_at","prefoldin subunit 4","Pfdn4"
"1367496_at","transmembrane 9 superfamily member 2","Tm9sf2"
"1367498_at","YTH N6-methyladenosine RNA binding protein F1","Ythdf1"
"1367547_at","zinc finger MYM-type containing 2","Zmym2"
"1367553_x_at","hemoglobin subunit beta","Hbb"
"1367555_at","albumin","Alb"
"1367556_s_at","albumin","Alb"
"1367557_s_at","glyceraldehyde-3-phosphate dehydrogenase","Gapdh"
"1367560_at","ribosomal protein lateral stalk subunit P0","Rplp0"
"1367562_at","secreted protein acidic and cysteine rich","Sparc"
"1367563_at","secreted protein acidic and cysteine rich","Sparc"
"1367567_at","ribosomal protein L6","Rpl6"
"1367568_a_at","matrix Gla protein","Mgp"
"1367570_at","transgelin","Tagln"
"1367572_at","myosin light chain 3","Myl3"
"1367573_at","ribosomal protein S6","Rps6"
"1367574_at","vimentin","Vim"
"1367576_at","glutathione peroxidase 1","Gpx1"
"1367577_at","heat shock protein family B (small) member 1","Hspb1"
"1367578_at","peroxiredoxin 2","Prdx2"
"1367579_a_at","tubulin, alpha 1C","Tuba1c"
"1367581_a_at","secreted phosphoprotein 1","Spp1"
"1367584_at","annexin A2","Anxa2"
"1367585_a_at","ATPase Na+/K+ transporting subunit alpha 1","Atp1a1"
"1367589_at","aconitase 2","Aco2"
"1367590_at","RAN, member RAS oncogene family","Ran"
"1367591_at","peroxiredoxin 3","Prdx3"
"1367594_at","biglycan","Bgn"
"1367598_at","transthyretin","Ttr"
"1367609_at","macrophage migration inhibitory factor","Mif"
"1367610_at","ribosomal protein L19","Rpl19"
"1367612_at","microsomal glutathione S-transferase 1","Mgst1"
"1367613_at","peroxiredoxin 1","Prdx1"
"1367614_at","annexin A1","Anxa1"
"1367615_at","seminal vesicle secretory protein 5","Svs5"
"1367617_at","aldolase, fructose-bisphosphate A","Aldoa"
"1367619_at","progesterone receptor membrane component 1","Pgrmc1"
"1367624_at","activating transcription factor 4","Atf4"
"1367626_at","creatine kinase, M-type","Ckm"
"1367627_at","glycine amidinotransferase","Gatm"
"1367628_at","galectin 1","Lgals1"
"1367632_at","glutamate-ammonia ligase","Glul"
"1367633_at","glutamate-ammonia ligase","Glul"
"1367636_at","insulin-like growth factor 2 receptor","Igf2r"
"1367641_at","superoxide dismutase 1","Sod1"
"1367647_at","serpin family A member 1","Serpina1"
"1367651_at","cathepsin D","Ctsd"
"1367652_at","insulin-like growth factor binding protein 3","Igfbp3"
"1367654_at","FAT atypical cadherin 1","Fat1"
"1367655_at","thymosin, beta 10","Tmsb10"
"1367659_s_at","enoyl-CoA delta isomerase 1","Eci1"
"1367661_at","S100 calcium binding protein A6","S100a6"
"1367662_at","hydroxysteroid (17-beta) dehydrogenase 10","Hsd17b10"
"1367663_at","proteasome activator subunit 1","Psme1"
"1367667_at","farnesyl diphosphate synthase","Fdps"
"1367671_at","proliferating cell nuclear antigen","Pcna"
"1367675_at","calcium and integrin binding 1","Cib1"
"1367676_at","high mobility group box 2","Hmgb2"
"1367678_at","succinate dehydrogenase complex flavoprotein subunit A","Sdha"
"1367679_at","CD74 molecule","Cd74"
"1367680_at","acyl-CoA oxidase 1","Acox1"
"1367685_at","ribosomal protein S27a","Rps27a"
"1367689_a_at","CD36 molecule","Cd36"
"1367693_at","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta","Ywhah"
"1367694_at","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta","Hadhb"
"1367695_at","quinoid dihydropteridine reductase","Qdpr"
"1367696_at","interferon induced transmembrane protein 2","Ifitm2"
"1367697_at","mitogen activated protein kinase 14","Mapk14"
"1367701_at","receptor activity modifying protein 2","Ramp2"
"1367702_at","acyl-CoA dehydrogenase medium chain","Acadm"
"1367705_at","glutaredoxin","Glrx"
"1367706_at","voltage-dependent anion channel 1","Vdac1"
"1367707_at","fatty acid synthase","Fasn"
"1367708_a_at","fatty acid synthase","Fasn"
"1367710_at","proteasome activator subunit 2","Psme2"
"1367712_at","TIMP metallopeptidase inhibitor 1","Timp1"
"1367713_at","eukaryotic translation initiation factor 2 subunit alpha","Eif2s1"
"1367715_at","TNF receptor superfamily member 1A","Tnfrsf1a"
"1367716_at","integrin alpha FG-GAP repeat containing 1","Itfg1"
"1367718_at","choline kinase beta","Chkb"
"1367720_at","aminolevulinate dehydratase","Alad"
"1367722_at","dipeptidylpeptidase 7","Dpp7"
"1367731_at","G protein subunit beta 1","Gnb1"
"1367732_at","G protein subunit beta 1","Gnb1"
"1367735_at","acyl-CoA dehydrogenase, long chain","Acadl"
"1367736_at","Ras-related GTP binding A","Rraga"
"1367737_at","alpha-L-fucosidase 1","Fuca1"
"1367739_at","cytochrome c oxidase, subunit VIIIb","Cox8b"
"1367741_at","homocysteine inducible ER protein with ubiquitin like domain 1","Herpud1"
"1367742_at","carnitine palmitoyltransferase 1B","Cpt1b"
"1367743_at","phosphofructokinase, liver type","Pfkl"
"1367749_at","lumican","Lum"
"1367751_at","dolichyl-phosphate mannosyltransferase subunit 2, regulatory","Dpm2"
"1367755_at","cysteine dioxygenase type 1","Cdo1"
"1367758_at","alpha-fetoprotein","Afp"
"1367764_at","cyclin G1","Ccng1"
"1367775_at","alpha-methylacyl-CoA racemase","Amacr"
"1367776_at","cyclin-dependent kinase 1","Cdk1"
"1367777_at","2,4-dienoyl-CoA reductase 1","Decr1"
"1367780_at","PTTG1 regulator of sister chromatid separation, securin","Pttg1"
